Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
0-4,255.3,255.3,255.3,255.3,255.3,261.0,270.030246473,278.830948825,287.408139747,296.217302818,305.275567235,305.909500161,307.559771071,309.782594754,312.109313769,314.441364066,316.421478049,317.602108336,318.208728813,318.586510741,318.843934932,318.64448248,318.446053171,318.3603519,318.162599383,317.739497004,317.540143658,317.562948268,317.69936178,317.953282976,314.313379614,311.3593024,309.001423565,307.60297118,307.165496685,311.861923886,317.07495486,322.701369291,328.617295536,334.674838471,340.744062483,346.689430672,352.408945187,357.78658471,362.76504777,367.322880672,371.447474089,375.127965592,378.359352762,381.144367639,383.498863575,
5-9,240.5,240.5,240.5,240.5,240.5,240.7,244.722564242,248.771961276,252.830189303,256.90918701,260.950812909,269.978626563,278.77721677,287.361474726,296.163373887,305.222225418,305.863086328,307.518317266,309.747825913,312.081226936,314.412133854,316.392140515,317.577883342,318.187450386,318.570170631,318.831508783,318.636098996,318.439507593,318.353273149,318.153458357,317.73638351,317.546359066,317.578689952,317.724171296,317.984340333,314.348905051,311.39893961,309.045111656,307.650582818,307.216397339,311.915322196,317.13084628,322.759564992,328.678109381,334.73795071,340.809541178,346.75740747,352.479458267,357.859322603,362.840315595,367.400758439,
10-14,264.3,264.3,264.3,264.3,264.3,260.2,256.272199809,252.346092835,248.422419716,244.522166885,240.649421301,244.670464629,248.727974603,252.801801217,256.872871145,260.912785152,269.949997054,278.751945448,287.327551981,296.13343707,305.186850309,305.830184315,307.488720816,309.720410967,312.053986146,314.386752925,316.376385914,317.564637977,318.176014578,318.555471774,318.834455866,318.650207824,318.46030713,318.375794874,318.168698144,317.754219911,317.566598953,317.601390898,317.749294515,318.012077756,314.379642184,311.432391072,309.081279402,307.689526427,307.25783367,311.958374026,317.175364788,322.805449445,328.725132716,334.786336636,340.859270779,
15-19,296.8,296.8,296.8,296.8,296.8,295.3,288.209173103,281.123593652,274.076327768,267.058769563,260.059199788,256.148758809,252.234746608,248.322248479,244.435608411,240.57764205,244.61106873,248.665898352,252.744571495,256.816896614,260.874601345,269.906620156,278.712322636,287.30115273,296.102950805,305.158882922,305.80054581,307.465486068,309.693186901,312.030346535,314.370837855,316.363390138,317.555306706,318.173655927,318.560691186,318.843107708,318.662413474,318.476219516,318.394995636,318.191548771,317.780577691,317.59618162,317.633995301,317.785544169,318.051260748,314.422207693,311.478135709,309.130018053,307.740732085,307.312008844,312.013798802,
20-24,308.6,308.6,308.6,308.6,308.6,313.5,309.804906306,306.132363237,302.45416382,298.746251601,295.046626224,288.002299721,280.959576328,273.956693956,266.972098674,260.006307131,256.107687711,252.212315727,248.315872507,244.453132768,240.614606627,244.658773514,248.725315829,252.801763546,256.893335557,260.95133992,269.975489767,278.784958014,287.355999076,296.156820517,305.22049855,305.874068225,307.543125398,309.777224231,312.121795133,314.465258938,316.460852055,317.656569807,318.278773502,318.669749627,318.95608036,318.779441488,318.597056201,318.520347655,318.320275479,317.912662351,317.731472409,317.772246804,317.925731411,318.194169952,314.568970588,
25-29,269.9,269.9,269.9,269.9,269.9,279.2,285.937677342,292.673634435,299.414644071,306.159372964,312.884712118,309.222769639,305.586060002,301.938504171,298.266372395,294.595096094,287.58418744,280.582078213,273.603749307,266.650708502,259.700918168,255.832565813,251.956507638,248.072866831,244.229197342,240.398442193,244.438778029,248.508336596,252.582322489,256.664646662,260.67030253,269.668543998,278.466266813,287.061674508,295.912093366,304.97210163,305.628182509,307.299784165,309.536088585,311.882699269,314.227982126,316.225348451,317.423271274,318.048724528,318.441650292,318.729844891,318.55517106,318.374834908,318.299046946,318.10083617,317.694989871,
30-34,251.6,251.6,251.6,251.6,251.6,250.8,256.280377061,261.811595724,267.373215464,272.95321916,278.533880937,285.300596991,292.05493627,298.810702482,305.569786677,312.31030022,308.675642949,305.065365017,301.451884961,297.799142605,294.155585731,287.182815005,280.198399355,273.254045193,266.33112823,259.41118354,255.556940587,251.698160271,247.82650309,243.991391278,240.213458508,244.285450066,248.362679745,252.446353876,256.538879829,260.550612206,269.553157,278.355324007,286.953958514,295.807333901,304.868937059,305.536580747,307.218755119,309.467017494,311.823243748,314.177683103,316.183948443,317.391293555,318.02500265,318.428317688,318.726550483,
35-39,317.8,317.8,317.8,317.8,317.8,306.5,295.068550349,283.660724982,272.309092448,261.04691823,249.891869219,255.394795157,260.936125683,266.504011796,272.09602595,277.682022372,284.449027194,291.207669375,297.975681021,304.737263807,311.476398303,307.876009623,304.303339193,300.714647779,297.103237952,293.507036719,286.561372362,279.620280571,272.711608037,265.814763392,258.985729931,255.190502707,251.379989909,247.550957265,243.704827325,239.951696588,244.033284093,248.120930511,252.214223569,256.316086028,260.336736522,269.343726144,278.149969952,286.754841826,295.610951584,304.674343764,305.356538903,307.051832148,309.309878192,311.678042121,314.044084659,
40-44,342.7,342.7,342.7,342.7,342.7,343.2,335.40538371,327.706076664,320.046304193,312.426123778,304.828911447,293.5238757,282.237870916,270.997192886,259.838983633,248.78492421,254.291566242,259.844922562,265.410828876,271.0030205,276.599045282,283.370161773,290.136562855,296.911484507,303.683868225,310.42895769,306.878993124,303.340711327,299.798719031,296.223530909,292.684140199,285.816506839,278.947727224,272.078038869,265.209197787,258.418857807,254.649147582,250.865628118,247.062774565,243.242505197,239.514293577,243.602964534,247.697157926,251.799856346,255.907282812,259.933087124,268.939255217,277.744768374,286.345573258,295.200153463,304.261060326,
45-49,316.6,316.6,316.6,316.6,316.6,325.6,328.39919875,331.267974068,334.212529213,337.207369229,340.237209011,332.636880949,325.120700065,317.631967624,310.172528832,302.723341586,291.548521856,280.394471812,269.281873301,258.257135105,247.332959395,252.849227489,258.414818613,264.003797098,269.607090039,275.214215786,282.000174238,288.76951082,295.549799382,302.318523746,309.047662053,305.557011572,302.073729205,298.596425356,295.135094222,291.638780042,284.819014601,278.001506218,271.181912291,264.363448253,257.622648718,253.884114918,250.131803317,246.363879951,242.573200652,238.873647935,242.969684622,247.071157767,251.17667408,255.289902813,259.32038437,
50-54,277.6,277.6,277.6,277.6,277.6,282.2,289.818182935,297.529266165,305.31576737,313.175846755,321.093520498,324.077656032,327.116346155,330.208503958,333.318468392,336.445580668,329.04726202,321.728662434,314.424553538,307.141188478,299.874542521,288.876530287,277.884956156,266.953412598,256.102651836,245.357373732,250.897261228,256.472401484,262.060230742,267.65618284,273.252743887,280.066972015,286.891989859,293.727115176,300.585773512,307.317805311,303.891706139,300.479320283,297.071204182,293.679840896,290.251749731,283.504066529,276.758981984,270.019182627,263.272528354,256.602088206,252.908323614,249.200726646,245.471618895,241.725600341,238.069234987,
