Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
0-4,255.3,255.3,255.3,255.3,255.3,261,266.3150101,269.4822006,271.2988119,271.6000184,272.0997935,273.0953304,274.0991538,275.9914457,277.5638667,280.0087184,281.6076065,282.8808955,283.6065981,284.1178232,284.0013865,283.8764125,283.7271141,283.3960931,283.290051,283.3083233,283.0956512,282.9997054,283.1149191,283.7029734,284.0077969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Sep,240.5,240.5,240.5,240.5,240.5,240.7,243.2137081,248.4865002,254.8991067,263.7000161,269.499727,274.4951207,277.2916233,279.5889207,278.9594791,279.3962273,280.6946158,281.8719725,284.1903708,286.2034435,288.2028763,289.4768531,291.0228186,291.7047422,292.3983738,292.4054124,292.394239,292.1081506,291.5117282,291.0028723,291.8601607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,264.3,264.3,264.3,264.3,264.3,260.2,256.6144634,252.4864009,248.1988136,245.8997028,246.1994866,248.1953657,253.9955252,261.6898314,269.4609498,274.9966332,280.8945799,283.9641973,285.3875972,285.1988356,285.0905209,286.3643091,287.7135928,289.9884574,291.7838621,293.8068834,295.8950755,297.5034151,298.220709,298.4115193,300.4186018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,296.8,296.8,296.8,296.8,296.8,295.3,290.8163911,284.3845603,279.598942,275.7999388,272.2996629,268.6951749,264.1952816,259.4895293,257.1622049,257.695856,260.3944818,265.4698118,273.2889168,280.8995878,287.8908325,293.0633975,296.4065611,298.9856633,298.3791606,298.5946337,299.1821826,300.7942366,302.4046877,304.2970955,307.0304225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,308.6,308.6,308.6,308.6,308.6,313.5,317.3178848,321.8819918,324.5988484,322.9000884,320.5998281,315.9946183,309.6945296,305.588146,301.8563535,298.8968969,294.3952599,289.868186,285.0887948,283.6000366,284.5905607,287.7646147,293.511441,300.4866985,309.4794774,315.9954913,320.281463,323.9869454,324.9030757,324.2928843,325.6086208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,269.9,269.9,269.9,269.9,269.9,279.2,288.1162389,295.6838673,302.9988611,309.8999434,314.2996212,316.6943216,320.5934532,322.4874676,320.9534686,318.4958178,314.1938598,309.164669,304.986822,301.9988562,298.2906609,295.2637257,291.2101083,286.1872488,285.180986,285.5945409,287.8831641,293.5915409,300.1028664,307.9932648,309.2559256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,251.6,251.6,251.6,251.6,251.6,250.8,255.2143845,263.1856404,272.7990272,282.8000014,291.7996994,300.9946568,308.2943264,315.28775,322.353346,327.4962985,329.5939028,333.1614538,335.5864424,333.1993394,330.6894955,327.4593421,321.410612,317.5846257,314.5779595,310.7950146,307.382355,303.4907411,298.2033543,296.5942189,300.4893638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,317.8,317.8,317.8,317.8,317.8,306.5,296.2166955,283.1848943,271.1985417,263.7994896,263.1992503,267.9947923,275.5953322,284.6889483,295.2572593,304.4964532,313.1942347,320.5636023,328.586774,335.799553,340.6896605,342.9576379,346.8115738,347.8842309,345.8764284,344.2942303,339.7797011,334.4892139,330.8024512,326.992249,328.1633144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,342.7,342.7,342.7,342.7,342.7,343.2,339.9191586,337.7812672,332.4987585,324.7000268,314.099781,303.8947822,291.2948046,279.2884313,271.9595702,271.5949427,275.8936728,284.0677648,292.487894,302.6994978,312.5901569,321.1602065,328.7112639,336.584626,344.1767085,349.0946585,351.7793393,354.9887362,357.0034794,354.9920369,354.0195194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
